chr,strand,gene_locus,gene_id,gene_name,gene_biotype,polyA_sites_in_gene,proximal_pos,proximal_feature,proximal_exp,distal_pos,distal_feature,distal_exp,proximal_fc,distal_fc,proximal_perc_inc,distal_perc_inc,proximal_padj,distal_padj,pair_type,gene_class
2,-,chr2:37201611-37231712,ENSG00000115816,CEBPZ,protein_coding,2,37212034,exon,9581,37201722,utr3,24305,0.19781,-0.19598,0.56,0.52,0.26269,0.26247,skipped,control_down
1,-,chr1:31652246-31704318,ENSG00000084636,COL16A1,protein_coding,2,31652589,utr3,7979,31652246,utr3,799,0.09601,-0.17201,0.6,0.56,0.26282,0.2714,same,control_down
6,+,chr6:28281580-28302548,ENSG00000137338,PGBD1,protein_coding,2,28301459,exon,2078,28302420,utr3,486,0.13725,-0.25409,0.51,0.45,0.26287,0.27202,same,control_down
15,-,chr15:50702265-50765807,ENSG00000138600,SPPL2A,protein_coding,2,50707577,utr3,23322,50705485,utr3,6335,0.15218,-0.17153,0.56,0.5,0.26339,0.26441,same,control_down
11,-,chr11:103907185-104164378,ENSG00000170962,PDGFD,protein_coding,2,103908334,utr3,245,103907196,utr3,2790,-0.51994,0.17859,0.51,0.63,0.26352,0.21657,same,control_up
4,-,chr4:7058905-7068196,ENSG00000109519,GRPEL1,protein_coding,2,7060528,utr3,3103,7060054,utr3,12243,0.22746,-0.20611,0.57,0.5,0.26366,0.26201,same,control_down
7,-,chr7:74231498-74254457,ENSG00000049541,RFC2,protein_coding,2,74231664,utr3,7239,74231503,utr3,798,-0.07529,0.16033,0.57,0.61,0.2637,0.26917,same,control_up
3,-,chr3:100363430-100401397,ENSG00000154174,TOMM70,protein_coding,2,100365296,utr3,14458,100363464,utr3,65497,0.18483,-0.17186,0.61,0.54,0.26622,0.26567,same,control_down
3,+,chr3:39406688-39412541,ENSG00000168028,RPSA,protein_coding,2,39408344,exon,2054,39412440,utr3,19003,0.30964,-0.28947,0.64,0.56,0.26622,0.26436,skipped,control_down
16,+,chr16:83948281-83966331,ENSG00000140961,OSGIN1,protein_coding,2,83948588,intron,685,83966331,utr3,4548,-0.4384,0.32615,0.37,0.48,0.26622,0.25894,composite,control_up
8,+,chr8:93857806-93926065,ENSG00000164951,PDP1,protein_coding,2,93925800,utr3,2100,93926065,utr3,32148,0.1818,-0.11627,0.57,0.52,0.26662,0.26268,same,control_down
21,-,chr21:36079389-36126639,ENSG00000230212,AP000688.1,sense_intronic,2,36121734,intron,189,36119211,intron,307,0.40107,-0.32068,0.44,0.35,0.26664,0.25598,composite,control_down
2,-,chr2:27325848-27357033,ENSG00000115207,GTF3C2,protein_coding,2,27326326,utr3,1819,27325855,utr3,31916,0.14969,-0.10246,0.61,0.55,0.26673,0.26272,same,control_down
15,-,chr15:90083044-90102503,ENSG00000182054,IDH2,protein_coding,2,90083981,utr3,49031,90083058,utr3,4223,0.08669,-0.10642,0.7,0.67,0.26747,0.26929,same,control_down
20,+,chr20:57351009-57379210,ENSG00000101146,RAE1,protein_coding,2,57361085,intron,3483,57378456,utr3,50352,-0.23953,0.21313,0.51,0.6,0.26784,0.26622,composite,control_up
19,-,chr19:9604679-9621398,ENSG00000171469,ZNF561,protein_coding,2,9610052,utr3,1774,9607331,utr3,6719,-0.21892,0.16407,0.51,0.57,0.26789,0.26436,same,control_up
X,-,chrX:155258240-155264588,ENSG00000155961,RAB39B,protein_coding,2,155260728,utr3,819,155258241,utr3,1087,0.32008,-0.29005,0.62,0.51,0.26879,0.26615,same,control_down
5,-,chr5:134177038-134194332,ENSG00000272772,AC104109.3,protein_coding,2,134194332,intron,2011,134193973,intron,4949,0.15647,-0.12393,0.4,0.36,0.26928,0.26679,skipped,control_down
9,+,chr9:136800595-136807740,ENSG00000213213,CCDC183,protein_coding,2,136800747,exon,390,136807739,utr3,263,0.27375,-0.33635,0.5,0.38,0.26945,0.27829,skipped,control_down
6,+,chr6:71886702-72403142,ENSG00000079841,RIMS1,protein_coding,2,72007765,intron,390,72402804,utr3,701,0.36474,-0.33557,0.64,0.55,0.26945,0.26945,composite,control_down
3,-,chr3:52433052-52445084,ENSG00000010319,SEMA3G,protein_coding,2,52433318,utr3,31893,52433052,utr3,2071,0.14894,-0.28732,0.12,0.1,0.26946,0.27425,same,control_down
1,-,chr1:39678647-39691688,ENSG00000116983,HPCAL4,protein_coding,2,39678968,utr3,398,39678648,utr3,555,-0.41219,0.32256,0.16,0.25,0.26989,0.26272,same,control_up
11,-,chr11:35431822-35530299,ENSG00000149090,PAMR1,protein_coding,2,35448361,intron,363,35431837,utr3,2562,-0.32967,0.23414,0.4,0.49,0.26992,0.26034,composite,control_up
9,+,chr9:116153803-116402321,ENSG00000182752,PAPPA,protein_coding,2,116342637,intron,327,116402319,utr3,2730,0.33778,-0.27799,0.68,0.6,0.26998,0.27864,composite,control_down
6,-,chr6:107704103-107824316,ENSG00000146285,SCML4,protein_coding,2,107799648,intron,567,107704210,utr3,1871,-0.21642,0.16178,0.37,0.44,0.27005,0.26366,composite,control_up
17,-,chr17:44798447-44830815,ENSG00000182963,GJC1,protein_coding,2,44804222,utr3,985,44798448,utr3,18881,0.30955,-0.207,0.44,0.36,0.27067,0.26377,same,control_down
2,+,chr2:197453422-197475307,ENSG00000115520,COQ10B,protein_coding,2,197475127,utr3,54888,197475300,utr3,10479,0.07964,-0.08856,0.46,0.44,0.27076,0.27127,same,control_down
11,-,chr11:72292424-72434679,ENSG00000162129,CLPB,protein_coding,2,72428807,exon,346,72293302,utr3,833,0.33817,-0.23073,0.71,0.62,0.27103,0.26362,skipped,control_down
16,-,chr16:10514841-10528201,ENSG00000260468,LINC01290,lincRNA,2,10527776,intron,1016,10521721,intron,400,0.07281,-0.10983,0.21,0.2,0.27124,0.26989,composite,control_down
20,+,chr20:18143169-18188386,ENSG00000149474,KAT14,protein_coding,2,18188033,utr3,12778,18188365,utr3,2866,0.08469,-0.10894,0.54,0.52,0.27143,0.27348,same,control_down
15,+,chr15:42348102-42359498,ENSG00000258461,AC012651.1,protein_coding,2,42353664,intron,6140,42356934,intron,1850,0.1556,-0.20647,0.43,0.36,0.27166,0.27508,composite,control_down
20,-,chr20:32192502-32207790,ENSG00000126003,PLAGL2,protein_coding,2,32195617,utr3,1764,32192507,utr3,11393,0.20984,-0.17596,0.56,0.5,0.27182,0.26916,same,control_down
19,+,chr19:39391302-39400636,ENSG00000063322,MED29,protein_coding,2,39400056,utr3,5114,39400560,utr3,29773,0.24662,-0.23691,0.56,0.49,0.27185,0.27103,same,control_down
14,-,chr14:81471548-81533860,ENSG00000071537,SEL1L,protein_coding,2,81476504,utr3,12070,81472920,utr3,160773,0.1563,-0.15481,0.58,0.54,0.27194,0.27194,same,control_down
17,-,chr17:35406683-35409600,ENSG00000267745,AC060766.7,processed_transcript,2,35409346,intron,2337,35406686,exon,1547,0.26986,-0.28586,0.48,0.39,0.27297,0.27441,composite,control_down
3,-,chr3:185476495-185499056,ENSG00000163900,TMEM41A,protein_coding,2,185490510,utr3,1368,185489601,utr3,25781,0.16979,-0.10778,0.61,0.57,0.27441,0.26916,same,control_down
X,-,chrX:134543336-134546612,ENSG00000223749,MIR503HG,lincRNA,2,134544428,exon,1616,134543337,exon,742,0.21216,-0.26514,0.63,0.53,0.27459,0.28299,skipped,control_down
1,+,chr1:43300992-43323107,ENSG00000066056,TIE1,protein_coding,2,43315299,intron,1853,43323106,utr3,9010,-0.18905,0.13232,0.23,0.28,0.27508,0.26923,composite,control_up
14,+,chr14:67619797-67651719,ENSG00000081181,ARG2,protein_coding,2,67651183,utr3,7902,67651710,utr3,1050,0.18405,-0.27293,0.6,0.53,0.27556,0.28246,same,control_down
16,-,chr16:23603159-23641309,ENSG00000083093,PALB2,protein_coding,2,23621260,intron,397,23603167,utr3,6100,0.42062,-0.21317,0.69,0.57,0.27616,0.25758,composite,control_down
3,-,chr3:183015217-183116074,ENSG00000078070,MCCC1,protein_coding,2,183078807,intron,1656,183015219,utr3,23153,0.21788,-0.17388,0.5,0.42,0.27623,0.27166,composite,control_down
12,-,chr12:55954104-55973316,ENSG00000185664,PMEL,protein_coding,2,55973315,utr5,1886,55954105,utr3,1020,-0.17029,0.17754,0.43,0.5,0.2766,0.27788,skipped,control_up
19,+,chr19:15640896-15662824,ENSG00000186529,CYP4F3,protein_coding,2,15660124,utr3,1668,15662818,utr3,1591,-0.05329,0.05332,0.59,0.59,0.27767,0.27767,same,control_up
2,-,chr2:231523159-231530494,ENSG00000171596,NMUR1,protein_coding,2,231524121,utr3,1431,231523194,utr3,624,-0.21964,0.28631,0.13,0.19,0.27856,0.2894,same,control_up
20,-,chr20:62136734-62143439,ENSG00000101182,PSMA7,protein_coding,2,62136913,exon,182024,62136734,utr3,254813,0.11133,-0.1112,0.57,0.54,0.27885,0.27885,same,control_down
12,-,chr12:39550032-39619750,ENSG00000173208,ABCD2,protein_coding,2,39596502,intron,294,39550353,utr3,308,0.32751,-0.32879,0.64,0.55,0.27889,0.27993,composite,control_down
19,+,chr19:2328614-2354805,ENSG00000005206,SPPL2B,protein_coding,2,2353927,utr3,11461,2354798,utr3,17404,0.13766,-0.13494,0.55,0.51,0.28028,0.28003,same,control_down
13,+,chr13:51803837-51813831,ENSG00000231856,AL162377.1,antisense_RNA,2,51804500,exon,480,51805649,intron,728,-0.26851,0.21088,0.34,0.42,0.28077,0.27237,skipped,control_up
5,+,chr5:176238366-176345990,ENSG00000170085,SIMC1,protein_coding,2,176345685,utr3,270,176345983,utr3,5114,0.47628,-0.23635,0.59,0.46,0.28158,0.26221,same,control_down
4,+,chr4:84965681-85011276,ENSG00000180769,WDFY3-AS2,processed_transcript,2,84970725,intron,380,85008742,exon,1210,0.25527,-0.17124,0.4,0.35,0.28158,0.27067,composite,control_down
4,-,chr4:176683537-176792726,ENSG00000150630,VEGFC,protein_coding,2,176746588,intron,766,176683539,utr3,7667,0.34776,-0.25452,0.45,0.34,0.28168,0.2726,composite,control_down
16,-,chr16:30423618-30430074,ENSG00000179958,DCTPP1,protein_coding,2,30424038,utr3,664,30423701,utr3,13097,0.21763,-0.09483,0.65,0.61,0.28182,0.26945,same,control_down
15,+,chr15:66386816-66492311,ENSG00000169032,MAP2K1,protein_coding,2,66459303,intron,4392,66491542,utr3,24149,-0.07023,0.06541,0.46,0.5,0.28246,0.2812,composite,control_up
16,+,chr16:71626160-71642113,ENSG00000140832,MARVELD3,protein_coding,2,71636202,utr3,1945,71641962,utr3,3252,0.13694,-0.11982,0.68,0.64,0.28258,0.28005,skipped,control_down
9,+,chr9:126805005-126838209,ENSG00000169155,ZBTB43,protein_coding,2,126831952,utr5,2358,126838205,utr3,23238,-0.13474,0.11457,0.39,0.43,0.28321,0.28091,same,control_up
14,+,chr14:94146127-94279734,ENSG00000119698,PPP4R4,protein_coding,2,94227842,utr3,413,94279732,utr3,1875,0.59841,-0.37318,0.59,0.42,0.28414,0.26306,skipped,control_down
8,-,chr8:11842523-11869447,ENSG00000164733,CTSB,protein_coding,2,11844319,utr3,395382,11842526,utr3,61143,0.11595,-0.11713,0.59,0.55,0.28428,0.28439,same,control_down
1,+,chr1:211382802-211435332,ENSG00000153363,LINC00467,lincRNA,2,211432533,exon,7433,211435329,exon,1303,0.184,-0.24301,0.62,0.54,0.28441,0.28983,same,control_down
19,+,chr19:12891025-12914206,ENSG00000105607,GCDH,protein_coding,2,12899967,utr3,1484,12900699,intron,234,0.13128,-0.2898,0.55,0.47,0.28441,0.29746,skipped,control_down
3,-,chr3:58564116-58627609,ENSG00000168309,FAM107A,protein_coding,2,58564728,utr3,6879,58564119,utr3,45622,0.14567,-0.11725,0.18,0.15,0.28496,0.28286,same,control_down
15,+,chr15:58138168-58185910,ENSG00000103569,AQP9,protein_coding,2,58184302,utr3,982,58185909,utr3,15455,0.25396,-0.1757,0.5,0.46,0.28598,0.27789,same,control_down
16,+,chr16:75647785-75761871,ENSG00000166848,TERF2IP,protein_coding,2,75656615,utr3,39087,75657430,utr3,188695,0.20654,-0.20545,0.51,0.44,0.28609,0.28598,same,control_down
1,-,chr1:23428562-23484567,ENSG00000088280,ASAP3,protein_coding,2,23429144,utr3,762,23428562,utr3,4763,-0.22644,0.13058,0.4,0.47,0.28658,0.27788,same,control_up
7,-,chr7:1428464-1459501,ENSG00000164877,MICALL2,protein_coding,2,1434365,utr3,9546,1428478,exon,1550,-0.27605,0.31831,0.59,0.66,0.28685,0.28912,skipped,control_up
8,-,chr8:58805417-59119207,ENSG00000198846,TOX,protein_coding,2,58806785,utr3,4575,58805686,utr3,939,0.17914,-0.28253,0.6,0.52,0.28693,0.29526,same,control_down
7,+,chr7:87934142-88202888,ENSG00000008277,ADAM22,protein_coding,2,88198529,utr3,319,88202887,utr3,1362,0.37087,-0.22301,0.53,0.45,0.28742,0.26707,same,control_down
16,+,chr16:86576367-86582159,ENSG00000176678,FOXL1,protein_coding,2,86581688,utr3,1078,86582151,utr3,686,0.35285,-0.40267,0.55,0.42,0.28753,0.29206,same,control_down
7,-,chr7:106090502-106112575,ENSG00000008282,SYPL1,protein_coding,2,106091698,utr3,8271,106090513,utr3,81750,0.11926,-0.10351,0.52,0.49,0.28767,0.28663,same,control_down
12,-,chr12:76344473-76348441,ENSG00000179941,BBS10,protein_coding,2,76347406,exon,278,76344578,utr3,1599,0.49641,-0.24672,0.6,0.46,0.28811,0.25848,same,control_down
2,+,chr2:196639553-196763489,ENSG00000144395,CCDC150,protein_coding,2,196657448,intron,409,196732796,utr3,1572,0.76307,-0.69466,0.82,0.64,0.28846,0.30241,composite,control_down
2,-,chr2:47192404-47345073,ENSG00000234690,AC106869.1,lincRNA,2,47331826,exon,1049,47331364,intron,491,0.17191,-0.2305,0.55,0.48,0.28856,0.29282,skipped,control_down
9,+,chr9:92947450-93036235,ENSG00000127084,FGD3,protein_coding,2,92970447,intron,249,93036231,utr3,3045,0.45264,-0.23502,0.51,0.4,0.28891,0.27124,composite,control_down
X,+,chrX:108439843-108697544,ENSG00000188153,COL4A5,protein_coding,2,108696859,utr3,530,108697538,utr3,10420,0.46939,-0.236,0.65,0.53,0.28897,0.27562,same,control_down
1,+,chr1:47333796-47378838,ENSG00000162368,CMPK1,protein_coding,2,47377772,utr3,28707,47378837,utr3,92416,0.14795,-0.14545,0.57,0.51,0.28897,0.28884,same,control_down
14,+,chr14:73886827-73932510,ENSG00000119725,ZNF410,protein_coding,2,73932093,utr3,3128,73932276,utr3,22073,-0.14129,0.1085,0.48,0.52,0.2894,0.28719,same,control_up
22,-,chr22:20111865-20117391,ENSG00000099899,TRMT2A,protein_coding,2,20112303,utr3,4012,20111875,utr3,1363,0.13034,-0.17603,0.59,0.53,0.2894,0.29343,same,control_down
4,+,chr4:73836496-73849063,ENSG00000124875,CXCL6,protein_coding,2,73838495,utr3,1273,73838758,utr3,4517,0.80671,-0.52511,0.95,0.88,0.29001,0.28087,same,control_down
12,+,chr12:65171261-65171916,ENSG00000276853,AC026124.2,sense_intronic,2,65171604,exon,1216,65171910,exon,226,-0.12211,0.28621,0.37,0.45,0.29025,0.3097,same,control_up
6,-,chr6:166409363-166858092,ENSG00000071242,RPS6KA2,protein_coding,2,166409821,utr3,9286,166409387,utr3,44740,-0.16276,0.14674,0.31,0.35,0.29037,0.28999,same,control_up
17,+,chr17:83104254-83106909,ENSG00000261888,AC144831.1,lincRNA,2,83106569,exon,211,83106826,exon,2855,0.43292,-0.17334,0.54,0.43,0.29037,0.26116,same,control_down
16,+,chr16:23641391-23677454,ENSG00000166847,DCTN5,protein_coding,2,23667702,utr3,654,23669860,utr3,12868,0.23632,-0.13063,0.61,0.54,0.29037,0.28021,same,control_down
17,-,chr17:82654972-82698727,ENSG00000141542,RAB40B,protein_coding,2,82657312,utr3,3398,82657072,utr3,15391,0.05773,-0.0435,0.49,0.47,0.29037,0.28863,same,control_down
1,+,chr1:148402515-148432544,ENSG00000231551,AC245100.4,transcribed_unprocessed_pseudogene,2,148402957,intron,305,148432544,exon,281,-0.32084,0.32969,0.42,0.54,0.29037,0.29037,skipped,control_up
7,+,chr7:128458418-128469196,ENSG00000240758,AC010655.2,processed_transcript,2,128462357,intron,1236,128466498,intron,605,-0.11932,0.14325,0.71,0.73,0.29049,0.29335,skipped,control_up
6,+,chr6:133889137-133895552,ENSG00000118526,TCF21,protein_coding,2,133892252,utr3,37435,133895536,utr3,2052,0.11782,-0.1642,0.16,0.14,0.2907,0.2919,same,control_down
14,+,chr14:96392110-96489426,ENSG00000140057,AK7,protein_coding,2,96488772,utr3,436,96489426,utr3,412,0.196,-0.20399,0.46,0.39,0.29216,0.29275,same,control_down
13,+,chr13:42040035-42256577,ENSG00000102780,DGKH,protein_coding,2,42232092,utr3,4741,42242889,utr3,56376,0.33083,-0.31379,0.47,0.36,0.29259,0.29158,same,control_down
19,+,chr19:5904857-5910852,ENSG00000187650,VMAC,protein_coding,2,5909858,utr3,834,5910241,utr3,481,-0.11457,0.14027,0.51,0.55,0.29327,0.29421,same,control_up
11,+,chr11:30323050-30338226,ENSG00000152219,ARL14EP,protein_coding,2,30336805,utr3,2338,30338221,utr3,7583,0.17996,-0.15343,0.55,0.49,0.29327,0.29116,same,control_down
20,-,chr20:25674214-25696840,ENSG00000130684,ZNF337,protein_coding,2,25676780,exon,2294,25674215,utr3,10531,0.21257,-0.19307,0.52,0.45,0.29335,0.29158,same,control_down
2,-,chr2:240886047-240896888,ENSG00000172478,C2orf54,protein_coding,2,240886669,utr3,3664,240886048,utr3,12675,0.12167,-0.10401,0.4,0.35,0.29343,0.29187,same,control_down
15,+,chr15:57591940-57685363,ENSG00000263155,MYZAP,protein_coding,2,57650057,intron,9629,57685358,utr3,25815,0.12155,-0.1145,0.14,0.11,0.29343,0.29274,composite,control_down
3,+,chr3:44667411-44669363,ENSG00000272077,AC124045.1,lincRNA,2,44667653,exon,223,44669355,exon,2167,-0.37742,0.16253,0.36,0.43,0.29389,0.28186,same,control_up
2,-,chr2:233833415-233854565,ENSG00000123485,HJURP,protein_coding,2,233837382,utr3,9937,233836703,utr3,610,-0.17471,0.39544,0.82,0.88,0.29492,0.3155,same,control_up
21,+,chr21:34073569-34106261,ENSG00000198743,SLC5A3,protein_coding,2,34103452,utr3,1510,34106258,utr3,20249,0.20334,-0.12507,0.68,0.63,0.29526,0.29228,same,control_down
12,+,chr12:56101330-56109288,ENSG00000257411,AC034102.2,protein_coding,2,56103503,intron,41489,56106681,exon,50519,-0.00458,0.00457,0.6,0.58,0.29656,0.29655,composite,control_up
2,+,chr2:102186972-102240001,ENSG00000115598,IL1RL2,protein_coding,2,102236881,intron,277,102239998,utr3,1293,0.41796,-0.22079,0.68,0.57,0.29743,0.27395,composite,control_down
15,+,chr15:42548809-42569993,ENSG00000137814,HAUS2,protein_coding,2,42568927,utr3,2409,42569989,utr3,16966,0.13657,-0.10585,0.52,0.48,0.29819,0.29502,same,control_down
2,+,chr2:95274452-95291307,ENSG00000155066,PROM2,protein_coding,2,95290316,utr3,1184,95291299,utr3,7200,0.14729,-0.09926,0.79,0.77,0.29824,0.29343,same,control_down
1,+,chr1:170532128-170553445,ENSG00000120370,GORAB,protein_coding,2,170533265,intron,890,170553442,utr3,7395,0.13116,-0.12035,0.57,0.57,0.29827,0.29827,composite,control_down
1,-,chr1:154944075-154956122,ENSG00000163346,PBXIP1,protein_coding,2,154944441,utr3,4454,154944075,utr3,46432,0.21064,-0.19066,0.54,0.46,0.29888,0.29765,same,control_down
1,+,chr1:201955490-201970660,ENSG00000134375,TIMM17A,protein_coding,2,201969934,utr3,7926,201970349,utr3,65736,0.12252,-0.10167,0.61,0.57,0.29906,0.29814,same,control_down
1,+,chr1:77067919-77078481,ENSG00000230498,AL035409.1,antisense_RNA,2,77070420,intron,356,77072028,intron,1916,0.31342,-0.12618,0.28,0.22,0.29995,0.27759,composite,control_down
3,-,chr3:131455125-131458597,ENSG00000261167,AC107027.3,sense_overlapping,2,131458586,exon,261,131455127,exon,1122,0.42315,-0.22886,0.59,0.46,0.30024,0.27213,same,control_down
8,-,chr8:53966551-54022528,ENSG00000187735,TCEA1,protein_coding,2,53984488,exon,8365,53966556,utr3,67131,0.19306,-0.18862,0.63,0.6,0.30055,0.29999,skipped,control_down
3,-,chr3:14145146-14178782,ENSG00000154767,XPC,protein_coding,2,14170483,exon,14005,14145149,utr3,30622,0.22306,-0.22081,0.46,0.4,0.30071,0.30054,skipped,control_down
3,+,chr3:54122546-55074556,ENSG00000157445,CACNA2D3,protein_coding,2,54471656,intron,305,54879185,intron,634,-0.52165,0.36631,0.36,0.53,0.3018,0.24711,composite,control_up
16,-,chr16:3222324-3236220,ENSG00000010539,ZNF200,protein_coding,2,3223266,utr3,3272,3222623,utr3,462,-0.26323,0.43773,0.52,0.65,0.30212,0.32143,same,control_up
X,+,chrX:70444860-70505489,ENSG00000082458,DLG3,protein_coding,2,70504364,utr3,7341,70505484,utr3,10553,0.05311,-0.04945,0.57,0.56,0.30431,0.304,same,control_down
16,-,chr16:30530366-30535346,ENSG00000169955,ZNF747,protein_coding,2,30531121,utr3,2101,30530371,utr3,3022,-0.15425,0.13519,0.46,0.51,0.30435,0.30189,same,control_up
4,+,chr4:165207617-165323155,ENSG00000109466,KLHL2,protein_coding,2,165322579,utr3,3744,165323145,utr3,35805,0.16412,-0.13513,0.48,0.43,0.30435,0.30173,same,control_down
7,+,chr7:149838366-149867478,ENSG00000106479,ZNF862,protein_coding,2,149840177,intron,16751,149867477,utr3,6601,0.12846,-0.13548,0.52,0.47,0.3062,0.307,composite,control_down
11,+,chr11:72080330-72110781,ENSG00000184154,LRTOMT,protein_coding,2,72095595,utr3,406,72096889,utr3,2697,0.28375,-0.16271,0.56,0.47,0.30656,0.29401,same,control_down
X,+,chrX:87517748-87670049,ENSG00000102271,KLHL4,protein_coding,2,87667931,utr3,981,87670048,utr3,197,0.1697,-0.42964,0.38,0.29,0.30656,0.32864,same,control_down
15,+,chr15:39586560-39587292,ENSG00000276107,AC037198.2,sense_intronic,2,39586800,exon,834,39587251,exon,456,-0.55243,0.62711,0.52,0.75,0.30674,0.30674,same,control_up
19,+,chr19:49877424-49888748,ENSG00000104946,TBC1D17,protein_coding,2,49885435,utr3,419,49888742,utr3,3479,0.32636,-0.21907,0.5,0.44,0.30735,0.29844,skipped,control_down
1,-,chr1:37681569-37692248,ENSG00000116922,C1orf109,protein_coding,2,37682158,utr3,298,37681570,utr3,3951,0.26261,-0.2079,0.66,0.62,0.30787,0.31157,same,control_down
2,-,chr2:177155621-177212661,ENSG00000229337,AC079305.3,antisense_RNA,2,177207611,intron,238,177199188,intron,379,0.40666,-0.33046,0.51,0.38,0.30806,0.29341,composite,control_down
11,+,chr11:112270748-112362533,ENSG00000250303,AP002884.3,lincRNA,2,112291775,exon,4004,112294116,intron,1660,0.19381,-0.23227,0.57,0.49,0.3081,0.31057,skipped,control_down
6,+,chr6:82363205-82370827,ENSG00000146242,TPBG,protein_coding,2,82366880,utr3,632,82370826,utr3,1701,0.11461,-0.08553,0.71,0.69,0.30812,0.3061,same,control_down
12,+,chr12:630890-663705,ENSG00000177406,AC021054.1,antisense_RNA,2,645413,exon,14667,645875,exon,1315,-0.08005,0.17701,0.35,0.4,0.30833,0.31846,same,control_up
16,+,chr16:3006119-3007387,ENSG00000272079,AC004233.3,lincRNA,2,3006396,exon,233,3007386,exon,1019,0.19844,-0.11289,0.57,0.5,0.30849,0.29201,same,control_down
1,+,chr1:241532133-241595641,ENSG00000117009,KMO,protein_coding,2,241592286,utr3,7136,241595640,utr3,3082,0.10742,-0.12285,0.44,0.41,0.30899,0.31056,same,control_down
17,-,chr17:29560546-29567136,ENSG00000168792,ABHD15,protein_coding,2,29561293,utr3,3530,29560548,utr3,4903,0.11007,-0.10125,0.51,0.47,0.30899,0.30824,same,control_down
4,+,chr4:127623270-127726736,ENSG00000164066,INTU,protein_coding,2,127716774,utr3,3607,127726728,utr3,2485,0.15739,-0.16831,0.49,0.45,0.30967,0.31046,same,control_down
5,-,chr5:160401640-160421710,ENSG00000164609,SLU7,protein_coding,2,160403151,utr3,5047,160401648,utr3,27424,0.13853,-0.11827,0.46,0.42,0.3097,0.30847,same,control_down
22,+,chr22:41469124-41528988,ENSG00000100412,ACO2,protein_coding,2,41516121,exon,541,41521585,exon,439,0.28966,-0.30146,0.72,0.62,0.30999,0.31217,skipped,control_down
2,+,chr2:210477681-210679106,ENSG00000021826,CPS1,protein_coding,2,210678449,utr3,5424,210679104,utr3,31780,0.53217,-0.471,0.98,0.95,0.31007,0.30944,same,control_down
2,-,chr2:96705928-96740063,ENSG00000114988,LMAN2L,protein_coding,2,96706852,utr3,629,96705931,utr3,7317,0.19877,-0.11415,0.55,0.5,0.31014,0.29883,same,control_down
6,-,chr6:39881803-39899576,ENSG00000235033,AL590999.1,antisense_RNA,2,39896013,intron,225,39884312,exon,615,-0.25347,0.16294,0.36,0.41,0.3104,0.30522,composite,control_up
3,+,chr3:187368331-187372075,ENSG00000136514,RTP4,protein_coding,2,187371578,utr3,9167,187372074,utr3,1732,0.18274,-0.23679,0.45,0.39,0.31102,0.31473,same,control_down
3,-,chr3:27110084-27369459,ENSG00000163491,NEK10,protein_coding,2,27262582,intron,314,27110084,utr3,882,0.31101,-0.21542,0.55,0.48,0.31102,0.29165,composite,control_down
6,+,chr6:1609971-1613896,ENSG00000054598,FOXC1,protein_coding,2,1612819,utr3,3060,1613891,utr3,56015,0.2443,-0.20836,0.61,0.54,0.31173,0.30922,same,control_down
14,+,chr14:103928461-104052666,ENSG00000156414,TDRD9,protein_coding,2,104052342,utr3,322,104052664,utr3,1001,-0.3941,0.22872,0.32,0.4,0.31178,0.29253,same,control_up
20,+,chr20:25624044-25678073,ENSG00000213742,ZNF337-AS1,antisense_RNA,2,25636604,intron,1599,25677157,exon,444,-0.19306,0.30393,0.65,0.71,0.31218,0.31724,composite,control_up
14,+,chr14:100861031-100947193,ENSG00000258399,AL117190.1,lincRNA,2,100924805,intron,442,100936468,intron,529,-0.64904,0.65435,0.62,0.81,0.31227,0.31104,composite,control_up
12,-,chr12:49836038-49843128,ENSG00000186666,BCDIN3D,protein_coding,2,49837856,utr3,5018,49836043,utr3,972,0.17742,-0.23618,0.57,0.5,0.31301,0.31701,same,control_down
6,+,chr6:4706158-4955550,ENSG00000153046,CDYL,protein_coding,2,4954256,utr3,4353,4955542,utr3,22348,0.16447,-0.13879,0.6,0.55,0.31355,0.31166,same,control_down
11,-,chr11:62686401-62689898,ENSG00000177363,LRRN4CL,protein_coding,2,62687500,utr3,473,62686407,utr3,1908,0.29446,-0.18617,0.49,0.42,0.31467,0.29788,same,control_down
19,-,chr19:43872362-43901384,ENSG00000176222,ZNF404,protein_coding,2,43898127,intron,361,43872366,utr3,852,0.17832,-0.13417,0.57,0.5,0.3147,0.30859,composite,control_down
16,-,chr16:10528421-10580697,ENSG00000213853,EMP2,protein_coding,2,10529076,utr3,110945,10528577,utr3,565108,0.12058,-0.11932,0.21,0.18,0.31471,0.31467,same,control_down
3,-,chr3:193402076-193593110,ENSG00000127249,ATP13A4,protein_coding,2,193440113,intron,1757,193402077,utr3,18449,0.0811,-0.05939,0.35,0.31,0.31484,0.30932,composite,control_down
3,+,chr3:111979009-111993362,ENSG00000144827,ABHD10,protein_coding,2,111991968,utr3,3160,111992443,utr3,596,0.10872,-0.17202,0.6,0.54,0.31488,0.32295,same,control_down
X,+,chrX:136497078-136512345,ENSG00000102241,HTATSF1,protein_coding,2,136499743,exon,3139,136512333,utr3,53459,0.2843,-0.26669,0.58,0.5,0.31539,0.31396,skipped,control_down
2,+,chr2:178112423-178139010,ENSG00000155636,RBM45,protein_coding,2,178126740,intron,605,178129652,utr3,5925,0.22792,-0.13701,0.57,0.52,0.31554,0.30849,composite,control_down
